﻿カードID,名前,読み方,レベル,属性,種族,カードタイプ,攻撃力,守備力,カードテキスト
12781,水晶機巧－グリオンガンド,クリストロン－グリオンガンド,9,水,機械族,シンクロ／効果,3000,3000,
20817,クリストロン・クラスター,クリストロン・クラスター,,,罠,,,,
12634,水晶機巧－クオンダム,クリストロン－クオンダム,4,水,機械族,シンクロ／チューナー／効果,1800,2000,
20759,水晶機巧－サルファドール,クリストロン－サルファドール,5,水,機械族,効果,1900,2250,
12756,水晶機巧－サルファフナー,クリストロン－サルファフナー,5,水,機械族,効果,2000,1500,
12609,水晶機巧－シストバーン,クリストロン－シストバーン,3,水,機械族,効果,1500,1500,
12606,水晶機巧－シトリィ,クリストロン－シトリィ,2,水,機械族,チューナー／効果,500,500,
12608,水晶機巧－スモーガー,クリストロン－スモーガー,3,水,機械族,効果,1000,1800,
20758,水晶機巧－トリスタロス,クリストロン－トリスタロス,2,水,機械族,チューナー／効果,800,2000,
13508,水晶機巧－ハリファイバー,クリストロン－ハリファイバー,2,水,機械族,リンク／効果,1500,-,
12755,水晶機巧－リオン,クリストロン－リオン,3,水,機械族,チューナー／効果,500,500,
12607,水晶機巧－プラシレータ,クリストロン－プラシレータ,2,水,機械族,効果,500,2000,
12636,水晶機巧－フェニキシオン,クリストロン－フェニキシオン,9,水,機械族,シンクロ／効果,2800,2000,
12610,水晶機巧－ローズニクス,クリストロン－ローズニクス,4,水,機械族,効果,1800,1000,
18817,クリック＆エコー,クリックアンドエコー,2,水,海竜族,効果,300,2100,
6128,クリッチー,クリッチー,6,闇,魔法使い族,融合,2100,1800,
4054,クリッター,クリッター,3,闇,悪魔族,効果,1000,600,
11885,クリティウスの牙,クリティウスのきば,,,魔法,,,,
16401,クリバビロン,クリバビロン,5,闇,悪魔族,効果,1500,1000,
11150,クリバンデット,クリバンデット,3,闇,悪魔族,効果,1000,700,
16398,クリビー,クリビー,1,闇,悪魔族,効果,300,200,
10336,クリフォトン,クリフォトン,1,光,悪魔族,効果,300,200,
16397,クリバー,クリバー,1,闇,悪魔族,効果,300,200,
11541,クリフォート・アクセス,クリフォート・アクセス,7,地,機械族,ペンデュラム／効果,2800,1000,
11540,クリフォート・アセンブラ,クリフォート・アセンブラ,5,地,機械族,ペンデュラム／通常,2400,1000,
11354,クリフォート・アーカイブ,クリフォート・アーカイブ,6,地,機械族,ペンデュラム／効果,2400,1000,
13502,クリフォート・ゲニウス,クリフォート・ゲニウス,2,地,機械族,リンク／効果,1800,-,
11542,クリフォート・エイリアス,クリフォート・エイリアス,8,地,機械族,ペンデュラム／効果,2800,1000,
12666,機殻の凍結,クリフォートダウン,,,罠,,,,
11357,クリフォート・シェル,クリフォート・シェル,8,地,機械族,ペンデュラム／効果,2800,1000,
11355,クリフォート・ゲノム,クリフォート・ゲノム,6,地,機械族,ペンデュラム／効果,2400,1000,
11353,クリフォート・ツール,クリフォート・ツール,5,地,機械族,ペンデュラム／通常,1000,2800,
11406,起動する機殻,クリフォートラン,,,罠,,,,
11356,クリフォート・ディスク,クリフォート・ディスク,7,地,機械族,ペンデュラム／効果,2800,1000,
11394,機殻の要塞,クリフォートレス,,,魔法,,,,
16399,クリブー,クリブー,1,闇,悪魔族,効果,300,200,
16400,クリベー,クリベー,1,闇,悪魔族,効果,300,200,
9875,クリボルト,クリボルト,1,光,雷族,効果,300,200,
8292,クリボン,クリボン,1,光,天使族,効果,300,200,
6636,クリボーを呼ぶ笛,クリボーをよぶふえ,,,魔法,,,,
11964,クリボール,クリボール,1,闇,悪魔族,効果,300,200,
4064,クリボー,クリボー,1,闇,悪魔族,効果,300,200,
9801,クリムゾン・ブレーダー,クリムゾン・ブレーダー,8,炎,戦士族,シンクロ／効果,2800,2600,
19018,クリムゾン・ヘルガイア,クリムゾン・ヘルガイア,,,魔法,,,,
8216,クリムゾン・ヘルフレア,クリムゾン・ヘルフレア,,,罠,,,,
9516,クリムゾン・ヘル・セキュア,クリムゾン・ヘル・セキュア,,,魔法,,,,
12577,クリボーン,クリボーン,1,光,悪魔族,効果,300,200,
15003,クリムゾン・リゾネーター,クリムゾン・リゾネーター,2,闇,悪魔族,チューナー／効果,800,300,
7089,クレイジー・ファイヤー,クレイジー・ファイヤー,,,魔法,,,,
13789,クルセイド・パラディオン,クルセイド・パラディオン,,,罠,,,,
5022,クルーエル,クルーエル,4,闇,悪魔族,効果,1000,1700,
8465,クルセイダー・オブ・エンディミオン,クルセイダー・オブ・エンディミオン,4,光,魔法使い族,デュアル／効果,1900,1200,
4513,クレイジー・フィッシュ,クレイジー・フィッシュ,4,水,魚族,通常,1600,1200,
6539,クレイ・チャージ,クレイ・チャージ,,,罠,,,,
4717,クレセント・ドラゴン,クレセント・ドラゴン,7,闇,ドラゴン族,通常,2200,2350,
21220,聖月の魔導士エンディミオン,クレセント・オブ・マギストスエンディミオン,2,光,魔法使い族,リンク／効果,1850,-,
7716,クレボンス,クレボンス,2,闇,サイキック族,チューナー／効果,1200,400,
10574,クレーンクレーン,クレーンクレーン,3,地,鳥獣族,効果,300,900,
4293,黒い影の鬼王,くろいかげのオーガ,4,地,獣戦士族,通常,1200,1400,
13971,闇鋼龍 ダークネスメタル,くろがねりゅう ダークネスメタル,4,闇,ドラゴン族,リンク／効果,2800,-,
14772,鉄の王 ドヴェルグス,くろがねのジェネレイド　ドヴェルグス,9,地,機械族,効果,1500,2500,
8203,黒い旋風,くろいせんぷう,,,魔法,,,,
20185,黒き魔術師－ブラック・マジシャン,くろきまじゅつし－ブラック・マジシャン,7,闇,魔法使い族,効果,2500,2100,
4571,黒き人食い鮫,くろきひとくいザメ,5,水,魚族,融合,2100,1300,
21438,黒き魔族－レオ・ウィザード,くろきまぞく－レオ・ウィザード,4,闇,魔法使い族,効果,1350,1200,
15125,黒き覚醒のエルドリクシル,くろきめざめのエルドリクシル,,,魔法,,,,
4580,黒き森のウィッチ,くろきもりのウィッチ,4,闇,魔法使い族,効果,1100,1200,
14797,黒き森の航天閣,くろきもりのこうてんかく,4,風,岩石族,リンク／効果,2400,-,
10566,クロクロークロウ,クロクロークロウ,2,闇,鳥獣族,効果,900,600,
4082,クロコダイラス,クロコダイラス,4,水,爬虫類族,通常,1100,1200,
5765,黒蠍－強力のゴーグ,くろさそり－ごうりきのゴーグ,5,闇,戦士族,効果,1800,1500,
5790,黒蠍団召集,くろさそりだんしょうしゅう,,,魔法,,,,
5425,黒蠍盗掘団,くろさそりとうくつだん,4,闇,戦士族,効果,1000,1000,
5766,黒蠍－棘のミーネ,くろさそり－いばらのミーネ,4,闇,戦士族,効果,1000,1800,
16197,黒衣竜アルビオン,くろごりゅうアルビオン,8,闇,ドラゴン族,効果,2500,2000,
5718,黒蠍－逃げ足のチック,くろさそり－にげあしのチック,3,闇,戦士族,効果,1000,1000,
5662,黒蠍－罠はずしのクリフ,くろさそり－わなはずしのクリフ,3,闇,戦士族,効果,1200,1000,
14856,クロシープ,クロシープ,2,地,獣族,リンク／効果,700,-,
9766,クロス・アタック,クロス・アタック,,,魔法,,,,
17190,XXクルージョン,クロス・エクスクルージョン,,,罠,,,,
5099,クロス・ソウル,クロス・ソウル,,,魔法,,,,
8030,クロスソード・ハンター,クロスソード・ハンター,4,風,昆虫族,効果,1800,1200,
14808,クロス・オーバー,クロス・オーバー,,,魔法,,,,
6275,クロスカウンター,クロスカウンター,,,罠,,,,
14450,クロス・デバッガー,クロス・デバッガー,2,闇,サイバース族,効果,900,600,
17404,クロス・キーパー,クロス・キーパー,2,闇,戦士族,効果,400,400,
13782,クロス・ブリード,クロス・ブリード,,,魔法,,,,
7575,クロス・ポーター,クロス・ポーター,2,闇,戦士族,効果,400,400,
14124,クロック・リザード,クロック・リザード,2,闇,サイバース族,リンク／効果,1200,-,
21903,クロスロードランナー,クロスロードランナー,1,地,鳥獣族,効果,300,300,
14938,クロスローズ・ドラゴン,クロスローズ・ドラゴン,2,闇,ドラゴン族,リンク／効果,800,-,
9478,クロック・リゾネーター,クロック・リゾネーター,3,地,悪魔族,チューナー／効果,1200,600,
13926,クロック・スパルトイ,クロック・スパルトイ,2,闇,サイバース族,リンク／効果,800,-,
13888,クロック・ワイバーン,クロック・ワイバーン,4,風,サイバース族,効果,1800,1000,
20787,機械仕掛けの騎士,クロック・ワーク・ナイト,1,地,機械族,リンク／効果,500,-,
17031,クロニクル・マジシャン,クロニクル・マジシャン,7,闇,魔法使い族,効果,2500,2500,
17386,クロニクル・ソーサレス,クロニクル・ソーサレス,4,闇,魔法使い族,効果,1250,1250,
11914,黒猫の睨み,くろねこのにらみ,,,罠,,,,
15855,クロノダイバー・アジャスター,クロノダイバー・アジャスター,4,闇,サイキック族,効果,1200,1800,
12907,クロノグラフ・マジシャン,クロノグラフ・マジシャン,6,闇,魔法使い族,ペンデュラム／効果,2000,1700,
14870,クロノダイバー・スタートアップ,クロノダイバー・スタートアップ,,,魔法,,,,
14827,クロノダイバー・タイムレコーダー,クロノダイバー・タイムレコーダー,4,闇,機械族,効果,1000,1000,
15856,クロノダイバー・ダブルバレル,クロノダイバー・ダブルバレル,4,闇,サイキック族,エクシーズ／効果,2200,2200,
16047,クロノダイバー・テンプホエーラー,クロノダイバー・テンプホエーラー,4,闇,機械族,効果,800,1400,
14357,クロノダイバー・ハック,クロノダイバー・ハック,,,魔法,,,,
19141,クロノダイバー・パワーリザーブ,クロノダイバー・パワーリザーブ,,,罠,,,,
14799,クロノダイバー・パーペチュア,クロノダイバー・パーペチュア,4,闇,サイキック族,エクシーズ／効果,1900,2500,
14358,クロノダイバー・フライバック,クロノダイバー・フライバック,,,罠,,,,
14354,クロノダイバー・ベゼルシップ,クロノダイバー・ベゼルシップ,4,闇,機械族,効果,1000,2000,
14353,クロノダイバー・リューズ,クロノダイバー・リューズ,4,闇,サイキック族,効果,1800,1300,
14356,クロノダイバー・リダン,クロノダイバー・リダン,4,闇,サイキック族,エクシーズ／効果,2400,2000,
14884,クロノダイバー・レトログラード,クロノダイバー・レトログラード,,,罠,,,,
14355,クロノダイバー・レギュレーター,クロノダイバー・レギュレーター,4,闇,機械族,効果,600,200,
17807,黒羽の旋風,くろはねのせんぷう,,,魔法,,,,
12456,黒の魔導陣,くろのまどうじん,,,魔法,,,,
8821,黒羽の宝札,くろはねのほうさつ,,,魔法,,,,
8315,黒光りするG,くろびかりするジー,1,地,昆虫族,効果,200,500,
9245,黒羽の導き,くろはねのみちびき,,,罠,,,,
12502,黒魔術のヴェール,くろまじゅつのヴェール,,,魔法,,,,
21749,黒魔術の護符,くろまじゅつのごふ,,,罠,,,,
4830,黒魔術のカーテン,くろまじゅつのカーテン,,,魔法,,,,
20248,黒魔術のバリア －ミラーフォース－,くろまじゅつのバリア　－ミラーフォース－,,,罠,,,,
12579,黒魔術の継承,くろまじゅつのけいしょう,,,魔法,,,,
14908,黒魔術の秘儀,くろまじゅつのひぎ,,,魔法,,,,
19148,黒魔女ディアベルスター,くろまじょディアベルスター,7,闇,魔法使い族,効果,2500,2000,
6429,黒魔導師クラン,くろまどうしクラン,2,闇,魔法使い族,効果,1200,0,
4822,黒魔族復活の棺,くろまぞくふっかつのひつぎ,,,罠,,,,
4110,黒魔族のカーテン,くろまぞくのカーテン,2,闇,魔法使い族,通常,600,500,
11249,黒魔導戦士 ブレイカー,くろまどうせんし　ブレイカー,6,闇,魔法使い族,効果,1600,1000,
8754,黒魔力の精製者,くろまりょくのせいせいしゃ,4,風,魔法使い族,効果,1200,1800,
13234,クローラー・グリア,クローラー・グリア,2,地,昆虫族,リバース／効果,700,1500,
13233,クローラー・アクソン,クローラー・アクソン,2,地,昆虫族,リバース／効果,500,1800,
8585,クローザー・フォレスト,クローザー・フォレスト,,,魔法,,,,
13232,クローラー・スパイン,クローラー・スパイン,2,地,昆虫族,リバース／効果,300,2100,
17431,クローラー・ソゥマ,クローラー・ソゥマ,6,地,昆虫族,効果,2000,2500,
13961,クローラー・パラディオン,クローラー・パラディオン,,,罠,,,,
13237,クローラー・デンドライト,クローラー・デンドライト,2,地,昆虫族,リバース／効果,1300,600,
13236,クローラー・ランヴィエ,クローラー・ランヴィエ,2,地,昆虫族,リバース／効果,1100,900,
4486,クワガタ・アルファ,クワガタ・アルファ,4,地,昆虫族,通常,1250,1000,
5574,クローン複製,クローンふくせい,,,罠,,,,
4539,クワガー・ヘラクレス,クワガー・ヘラクレス,6,地,昆虫族,融合,1900,1700,
9135,愚鈍の斧,ぐどんのおの,,,魔法,,,,
15952,颶風龍－ビュフォート・ノウェム,ぐふうりゅう－ビュフォート・ノウェム,9,風,ドラゴン族,儀式／効果,2800,2800,
15134,グッサリ＠イグニスター,グッサリアットイグニスター,8,地,サイバース族,効果,3000,3000,
18725,グラウンド・ゼノ,グラウンド・ゼノ,,,魔法,,,,
13235,クローラー・レセプター,クローラー・レセプター,2,地,昆虫族,リバース／効果,900,1200,
9969,グラヴィティ・ウォリアー,グラヴィティ・ウォリアー,6,地,戦士族,シンクロ／効果,2100,1000,
5134,グラヴィティ・バインド－超重力の網－,グラヴィティ・バインド－ちょうじゅうりょくのあみ－,,,罠,,,,
10276,重力砲,グラヴィティ・ブラスター,,,魔法,,,,
6609,グラスファントム,グラスファントム,3,水,植物族,効果,1000,1000,
17662,重力均衡,グラヴィティ・バランス,,,魔法,,,,
7144,グラヴィティ・ベヒモス,グラヴィティ・ベヒモス,6,闇,獣族,効果,2300,2000,
4083,グラップラー,グラップラー,4,水,爬虫類族,通常,1300,1200,
5042,グラッジ,グラッジ,3,闇,水族,効果,0,100,
7648,グラディアル・チェンジ,グラディアル・チェンジ,,,罠,,,,
9705,剣闘調教,グラディアルテイム,,,魔法,,,,
7460,剣闘訓練所,グラディアルトレーナー,,,魔法,,,,
14699,剣闘海戦,グラディアルナウマキア,,,罠,,,,
11059,剣闘獣アウグストル,グラディアルビーストアウグストル,8,闇,鳥獣族,効果,2600,1000,
14639,剣闘獣アトリクス,グラディアルビーストアトリクス,4,地,獣戦士族,効果,800,2000,
7282,剣闘獣アレクサンデル,グラディアルビーストアレクサンデル,6,光,獣族,効果,2400,600,
13151,剣闘獣アンダバタエ,グラディアルビーストアンダバタエ,8,闇,獣戦士族,融合／効果,1000,2800,
7365,剣闘獣アンダル,グラディアルビーストアンダル,4,地,獣戦士族,通常,1900,1500,
14640,剣闘獣ウェスパシアス,グラディアルビーストウェスパシアス,7,水,海竜族,効果,2300,0,
7722,剣闘獣エクイテ,グラディアルビーストエクイテ,4,風,鳥獣族,効果,1600,1200,
7617,剣闘獣ガイザレス,グラディアルビーストガイザレス,6,闇,鳥獣族,融合／効果,2400,1500,
9704,剣闘獣エセダリ,グラディアルビーストエセダリ,5,地,獣族,融合／効果,2500,1400,
7480,剣闘獣オクタビウス,グラディアルビーストオクタビウス,7,光,鳥獣族,効果,2500,1200,
14638,剣闘獣サジタリィ,グラディアルビーストサジタリィ,3,風,鳥獣族,効果,1400,1000,
7302,剣闘獣ゲオルディアス,グラディアルビーストゲオルディアス,7,闇,恐竜族,融合／効果,2600,1500,
20775,剣闘獣クラウディウス,グラディアルビーストクラウディウス,12,闇,獣族,融合／効果,3700,2600,
8025,剣闘獣サムニテ,グラディアルビーストサムニテ,3,地,獣族,効果,1600,1200,
20756,剣闘獣ギステル,グラディアルビーストギステル,3,地,獣族,効果,1200,2000,
7283,剣闘獣スパルティクス,グラディアルビーストスパルティクス,5,地,恐竜族,効果,2200,1600,
7289,剣闘獣セクトル,グラディアルビーストセクトル,4,風,爬虫類族,効果,400,300,
7432,剣闘獣ダリウス,グラディアルビーストダリウス,4,地,獣戦士族,効果,1700,300,
20785,剣闘獣ダレイオス,グラディアルビーストダレイオス,2,地,獣戦士族,リンク／効果,1700,-,
7763,剣闘獣の戦車,グラディアルビースト・チャリオット,,,罠,,,,
13152,剣闘獣総監エーディトル,グラディアルビースト・テイマーエーディトル,8,闇,獣戦士族,融合／効果,2400,3000,
9505,剣闘獣ティゲル,グラディアルビーストティゲル,4,地,獣族,効果,1800,800,
7288,剣闘獣ディカエリィ,グラディアルビーストディカエリィ,4,地,獣族,効果,1600,1200,
7481,剣闘獣トラケス,グラディアルビーストトラケス,3,水,魚族,効果,1400,400,
14660,剣闘獣ドミティアノス,グラディアルビーストドミティアノス,10,闇,海竜族,融合／効果,3500,1200,
13491,剣闘獣ドラガシス,グラディアルビーストドラガシス,2,風,鳥獣族,リンク／効果,2000,-,
11201,剣闘獣ネロキウス,グラディアルビーストネロキウス,8,闇,鳥獣族,融合／効果,2800,1900,
7307,剣闘獣の檻－コロッセウム,グラディアルビーストのおり－コロッセウム,,,魔法,,,,
13150,剣闘獣ノクシウス,グラディアルビーストノクシウス,5,闇,獣戦士族,効果,0,1000,
8051,剣闘獣の底力,グラディアルビーストのそこぢから,,,魔法,,,,
7310,剣闘獣の闘器マニカ,グラディアルビーストのとうきマニカ,,,魔法,,,,
7308,剣闘獣の闘器ハルバード,グラディアルビーストのとうきハルバード,,,魔法,,,,
7459,剣闘獣の闘器デーモンズシールド,グラディアルビーストのとうきデーモンズシールド,,,魔法,,,,
7309,剣闘獣の闘器グラディウス,グラディアルビーストのとうきグラディウス,,,魔法,,,,
20797,剣闘獣の闘技場－フラヴィス,グラディアルビーストのとうぎじょう－フラヴィス,,,魔法,,,,
7285,剣闘獣ベストロウリィ,グラディアルビーストベストロウリィ,4,風,鳥獣族,効果,1500,800,
7284,剣闘獣ムルミロ,グラディアルビーストムルミロ,3,水,魚族,効果,800,400,
7287,剣闘獣ホプロムス,グラディアルビーストホプロムス,4,地,岩石族,効果,700,2100,
7303,剣闘獣ヘラクレイノス,グラディアルビーストヘラクレイノス,8,炎,獣戦士族,融合／効果,3000,2800,
7286,剣闘獣ラクエル,グラディアルビーストラクエル,4,炎,獣戦士族,効果,1800,400,
8083,剣闘獣レティアリィ,グラディアルビーストレティアリィ,3,水,水族,効果,1200,800,
5695,グラナドラ,グラナドラ,4,水,爬虫類族,効果,1900,700,
14685,剣闘排斥波,グラディアルリジェクション,,,魔法,,,,
7312,グラディアル・リターン,グラディアル・リターン,,,魔法,,,,
7121,グラビ・クラッシュドラゴン,グラビ・クラッシュドラゴン,6,闇,ドラゴン族,効果,2400,1200,
14858,グラビティ・コントローラー,グラビティ・コントローラー,1,闇,サイキック族,リンク／効果,1000,-,
9436,剣闘獣ラニスタ,グラディアルビーストラニスタ,4,風,鳥獣族,効果,1800,1200,
8505,地縛波,グランド・ウェーブ,,,罠,,,,
7206,グラビティ・ボール,グラビティ・ボール,3,闇,悪魔族,リバース／効果,1100,700,
6670,グランドクロス,グランドクロス,,,魔法,,,,
17435,グランドタスク・ドラゴン,グランドタスク・ドラゴン,8,地,ドラゴン族,効果,1400,2400,
5339,グランド・ドラゴン,グランド・ドラゴン,4,風,ドラゴン族,効果,2000,100,
8451,グランド・スパイダー,グランド・スパイダー,4,地,昆虫族,効果,0,1500,
18512,グランドレミコード・クーリア,グランドレミコード・クーリア,3,光,天使族,リンク／効果,2700,-,
10227,グランドラン,グランドラン,4,地,岩石族,効果,0,1400,
4553,グリグル,グリグル,1,地,植物族,効果,350,300,
16237,グランドレミコード・ミューゼシア,グランドレミコード・ミューゼシア,2,光,天使族,リンク／効果,1900,-,
10809,グリザイユの牢獄,グリザイユのろうごく,,,罠,,,,
4926,グリズリーマザー,グリズリーマザー,4,水,獣戦士族,効果,1400,1000,
14252,グリッド・スィーパー,グリッド・スィーパー,4,光,サイバース族,効果,100,2000,
14500,グリッド・ロッド,グリッド・ロッド,,,魔法,,,,
4052,グリフォール,グリフォール,4,地,獣族,通常,1200,1500,
4892,グリフォンの翼,グリフォンのつばさ,,,罠,,,,
5903,グリフォンの羽根帚,グリフォンのはねぼうき,,,魔法,,,,
18163,グリム・リチュア,グリム・リチュア,2,水,魚族,効果,600,700,
6146,グリード,グリード,,,罠,,,,
12836,グリーディー・ヴェノム・フュージョン・ドラゴン,グリーディー・ヴェノム・フュージョン・ドラゴン,10,闇,ドラゴン族,融合／効果,3300,2500,
6869,グリード・クエーサー,グリード・クエーサー,7,闇,悪魔族,効果,?,?,
10187,グリモの魔導書,グリモのまどうしょ,,,魔法,,,,
8529,グリード・グラード,グリード・グラード,,,魔法,,,,
6693,緑光の宣告者,グリーン・デクレアラー,2,光,天使族,効果,300,500,
10524,グリーン・ダストン,グリーン・ダストン,1,風,悪魔族,効果,0,1000,
5340,グレイ・ウイング,グレイ・ウイング,3,風,ドラゴン族,効果,1300,700,
18027,若い忍者,グリーンにんじゃ,2,風,戦士族,効果,600,600,
6151,グリーン・ガジェット,グリーン・ガジェット,4,地,機械族,効果,1400,600,
6326,グレイヴ・オージャ,グレイヴ・オージャ,4,地,岩石族,効果,1600,1500,
6039,グレイヴ・キーパー,グレイヴ・キーパー,4,闇,悪魔族,効果,0,2000,
11977,グレイドル・アリゲーター,グレイドル・アリゲーター,3,水,水族,効果,500,1500,
11979,グレイドル・イーグル,グレイドル・イーグル,3,水,水族,効果,1500,500,
12006,グレイドル・インパクト,グレイドル・インパクト,,,魔法,,,,
11976,グレイドル・スライム,グレイドル・スライム,5,水,水族,チューナー／効果,0,2000,
12665,グレイドル・コンバット,グレイドル・コンバット,,,罠,,,,
11978,グレイドル・コブラ,グレイドル・コブラ,3,水,水族,効果,1000,1000,
12620,グレイドル・スライムJr.,グレイドル・スライムジュニア,2,水,水族,チューナー／効果,0,2000,
12019,グレイドル・スプリット,グレイドル・スプリット,,,罠,,,,
11992,グレイドル・ドラゴン,グレイドル・ドラゴン,8,水,水族,シンクロ／効果,3000,2000,
7385,グレイブ・スクワーマー,グレイブ・スクワーマー,1,闇,悪魔族,効果,0,0,
12018,グレイドル・パラサイト,グレイドル・パラサイト,,,罠,,,,
8690,グレイモヤ不発弾,グレイモヤふはつだん,,,罠,,,,
4012,グレムリン,グレムリン,4,闇,悪魔族,通常,1300,1400,
9577,グレンザウルス,グレンザウルス,3,炎,恐竜族,エクシーズ／効果,2000,1900,
9015,紅蓮王 フレイム・クライム,ぐれんおう　フレイム・クライム,3,炎,悪魔族,効果,1700,300,
5196,紅蓮の女守護兵,ぐれんのおんなしゅごへい,4,炎,戦士族,効果,1500,1200,
8900,紅蓮地帯を飛ぶ鷹,ぐれんちたいをとぶたか,1,炎,鳥獣族,チューナー／効果,100,0,
8919,紅蓮の炎壁,ぐれんのえんぺき,,,魔法,,,,
8515,紅蓮の指名者,ぐれんのしめいしゃ,,,罠,,,,
13388,紅蓮の機界騎士,ぐれんのジャックナイツ,7,光,サイキック族,効果,2300,2600,
5834,紅蓮魔獣 ダ・イーザ,ぐれんまじゅう　ダ・イーザ,3,炎,悪魔族,効果,?,?,
18228,紅恋の麗傑－ブラダマンテ,ぐれんのれいけつ－ブラダマンテ,1,炎,戦士族,チューナー／効果,500,200,
8467,紅蓮魔闘士,ぐれんまとうし,6,炎,戦士族,効果,2100,1800,
5641,グレート・アンガス,グレート・アンガス,4,炎,獣族,通常,1800,600,
9517,紅蓮魔竜の壺,ぐれんまりゅうのつぼ,,,魔法,,,,
6641,グレート・スピリット,グレート・スピリット,4,地,岩石族,効果,500,1500,
5378,偉大天狗,グレート・テング,5,闇,獣戦士族,スピリット／効果,1900,1700,
4066,グレート・ホワイト,グレート・ホワイト,4,水,魚族,通常,1600,800,
13606,グレートフライ,グレートフライ,2,風,昆虫族,リンク／効果,1400,-,
5768,偉大魔獣 ガーゼット,グレートまじゅう　ガーゼット,6,闇,悪魔族,効果,0,0,
4613,グレード・ビル,グレード・ビル,4,地,獣族,通常,1250,1300,
4063,グレート・モス,グレート・モス,8,地,昆虫族,特殊召喚／効果,2600,2500,
4212,グロス,グロス,3,水,水族,通常,900,700,
14058,グローアップ・ブルーム,グローアップ・ブルーム,1,闇,アンデット族,チューナー／効果,0,0,
9095,グローアップ・バルブ,グローアップ・バルブ,1,地,植物族,チューナー／効果,100,100,
16247,軍貫処 『海せん』,ぐんかんどころ　『かいせん』,,,魔法,,,,
11564,グングニールの影霊衣,グングニールのネクロス,7,水,魔法使い族,儀式／効果,2500,1700,
13855,グローウィング・ボウガン,グローウィング・ボウガン,,,魔法,,,,
7514,軍神ガープ,ぐんしんガープ,6,闇,悪魔族,効果,2200,2000,
5968,軍隊ピラニア,ぐんたいピラニア,2,水,魚族,効果,800,200,
13828,グローリアス・ナンバーズ,グローリアス・ナンバーズ,,,魔法,,,,
8645,軍荼利,ぐんだり,4,炎,炎族,スピリット／効果,1000,200,
5622,群雄割拠,ぐんゆうかっきょ,,,罠,,,,
14732,慧炎星－コサンジャク,けいえんせい－コサンジャク,2,炎,獣戦士族,リンク／効果,1000,-,
14710,警衛バリケイドベルグ,けいえいバリケイドベルグ,2,闇,機械族,リンク／効果,1000,-,
15722,契珖のヴルーレセンス,けいこうのヴルーレセンス,4,光,ドラゴン族,効果,1600,800,
6615,継承の印,けいしょうのしるし,,,魔法,,,,
11784,慧眼の魔術師,けいがんのまじゅつし,4,光,魔法使い族,ペンデュラム／効果,1500,1500,
21966,熒焅聖 アレクゥス,けいこくせい　アレクゥス,5,光,炎族,効果,2000,1800,
15961,形勢反転,けいせいはんてん,,,罠,,,,
7647,携帯型バッテリー,けいたいがたバッテリー,,,罠,,,,
15074,契約の遂行,けいやくのすいこう,,,魔法,,,,
6272,契約の履行,けいやくのりこう,,,魔法,,,,
7116,結界術師 メイコウ,けっかいじゅつし　メイコウ,4,光,魔法使い族,効果,1700,600,
6215,軽量化,けいりょうか,,,魔法,,,,
15397,計量機塊カッパスケール,けいりょうきかいカッパスケール,1,水,機械族,リンク／効果,0,-,
5554,削りゆく命,けずりゆくいのち,,,罠,,,,
21431,結瘴龍ティスティナ,けっしょうりゅうティスティナ,10,闇,水族,効果,2000,0,
17809,決戦のゴルゴンダ,けっせんのゴルゴンダ,,,魔法,,,,
11163,決戦融合－ファイナル・フュージョン,けっせんゆうごう－ファイナル・フュージョン,,,罠,,,,
19087,結晶神ティスティナ,けっしょうしんティスティナ,10,光,水族,効果,2000,3000,
7477,決戦の火蓋,けっせんのひぶた,,,罠,,,,
20818,結束と絆の超魔導剣士,けっそくときずなのパラディン,12,光,魔法使い族,シンクロ／効果,2900,2900,
18868,結束と絆の魔導師,けっそくときずなのマジシャン,8,光,魔法使い族,特殊召喚／効果,2500,2500,
14335,決闘竜 デュエル・リンク・ドラゴン,けっとうりゅう　デュエル・リンク・ドラゴン,4,闇,ドラゴン族,リンク／効果,0,-,
5755,結束 UNITY,けっそく　ＵＮＩＴＹ,,,魔法,,,,
12979,決別,けつべつ,,,罠,,,,
11162,決闘融合－バトル・フュージョン,けっとうゆうごう－バトル・フュージョン,,,魔法,,,,
8616,血涙のオーガ,けつるいのオーガ,4,闇,悪魔族,効果,0,0,
17773,獣の忍者－獏,けもののにんじゃ－バク,3,風,獣族,効果,1500,600,
5351,ケルドウ,ケルドウ,4,地,天使族,効果,1200,1600,
5361,ケルベク,ケルベク,4,地,天使族,効果,1500,1800,
12656,検疫,けんえき,,,魔法,,,,
4967,検閲,けんえつ,,,魔法,,,,
6436,謙虚な壺,けんきょなつぼ,,,魔法,,,,
16269,謙虚な瓶,けんきょなかめ,,,罠,,,,
17064,軒轅の相剣師,けんえんのそうけんし,4,光,魔法使い族,チューナー／効果,1800,1500,
10677,剣現する武神,けんげんするぶじん,,,罠,,,,
10287,謙虚な番兵,けんきょなばんぺい,,,魔法,,,,
15054,眷現の呪眼,けんげんのじゅがん,,,魔法,,,,
14690,犬賞金,けんしょうきん,,,魔法,,,,
17604,剣神官ムドラ,けんしんかんムドラ,4,地,天使族,効果,1500,1800,
5810,賢者ケイローン,けんじゃケイローン,4,地,獣戦士族,効果,1800,1000,
17725,賢瑞官カルダーン,けんずいかんカルダーン,4,地,天使族,効果,1400,1000,
